aspect,sentence
room,back to the front desk where we were moved to a standard room (was fine with that) that was newly renovated.
room,nice room but.. the new toilet leaked at the base and there were two lights in the bathroom that did not work.
value,not fixed during the two night stay.
"business service, value",the stay was on a free night award (not points related).
"business service, checkin, value","i was not going to complain about the situation but when the hotel pulled 20,000 from my wife's account in addition to using the free night certificate that was already attached to the reservation."
service,"since i had to talk with marriott to get the points refunded, i made them aware of the lack of notice about the construction and the service failures."
cleanliness,in the resulting dialog with the property it became clear that they just don't care about guest satisfaction.
location,we chose this marriott because of its convenience from the san diego airport and easy access to interstate 5. old town san diego contains a large number of restaurants (almost all with very similar mexican menus) and shops within a few blocks of the hotel.
cleanliness,this courtyard is an aging property and the rooms are adequate but certainly not luxurious.
location,"at the time of our visit, the hotel restaurant was in the process of renovation."
checkin,the staff are courteous and helpful.
business service,"parking on the property is $14/day, but there is plenty of free parking on nearby streets."
service,hotel is close to airport and that was good.
"room, cleanliness","the corridors were not clean, dim and were smelly."
room,room was just about okay.
"business service, value",we were using a free night and this was the closest hotel to where we were going that we could use.
checkin,"on the plus side, the front desk clerks (all shifts) were very nice and helpful."
room,the room was clean and quiet.
location,the location was perfect for old town.
business service,during the week they have a free wine and cheese happy hour.
room,"on the negative side, the room was very small and in need of an update."
room,the only chair was the desk chair and there was hardly any room between the bed and the desk for it.
cleanliness,other courtyards we have been in have been modern and spacious with a comfortable chair in addition to the desk chair.
room,the bed was hard.
room,arrived late and was given a room facing i-5.
"checkin, location",the front desk staff was great.
checkin,very nice and helpful employees.
cleanliness,it has been recently remodeled and you can still smell the new carpets.
room,room was spotless.
cleanliness,"you can hear other rooms alarm clocks, toilets etc."
location,the location is awesome we just walked everywhere including the train station.
location,old town is a fun place that feels miles away from the city but yet so close with transit.
cleanliness,didn't have a car so can't coment on parking.
checkin,everyone is so friendly and willing to help.
service,"thank you, its nice to get some good customer service."
business service,i stayed here for 10 nights on a business trip to san diego.
location,"although i was working down in the navy base area, the hotel is very easy to get to and traffic was never a problem."
room,the room was nice and clean.
room,my room even had a small porch with a table and two chairs.
room,although there was no view to speak of it was nice to sit outside and enjoy the fresh air while catching up on email.
"room, service",i also order room service a few times which came quickly.
service,food was just ok but not bad.
checkin,the hotel staff is very very friendly.
checkin,they were more than willing to answer any questions about the area or to help with special requests.
checkin,the young ladies that hosted the receptions were very friendly and made you feel welcome and at home.
location,the biggest plus about this hotel is the location.
location,by being within walking distance of old town san diego it provides access to many restaurants and stores.
"service, location","after a long day the last thing i want to do is to try to drive and find a place to eat, so being able to walk a few blocks to have so many options was great."
value,"parking is $14 a night, which is a deal when compared to the gas light area which runs around $21 a night."
room,the room was very typical but clean and well equiped.
location,"the bar and restaurant are small but ok. the hotel is well placed for exploring san diego old town and there is a good selection of restaurants to choose from, many being mexican type food but plenty of other choice including steaks and italian pizza."
service,"if you want to go downtown, there is a good trolley / tram service that goes from the station a short walk from the hotel."
"service, value","we did not use it but were told by others that is was good, reliable and value for money."
cleanliness,"we did not have to worry as we were coach bound, but it appeared to have few spaces for guest cars compared to the number of rooms."
"room, value",our first night was terrible due to noise from the next room.
room,next day we were told that the occupants of the room had been turned out!
location,"i would recommend this hotel for only short breaks, one or two nights as the old town area can easily be explored in that tiome and after that you would need to travel downtown for further exploring."
service,"we were there visiting a niece in the navy but the area offers a lot of good food, entertainment and sight seeing."
location,old town san diego is with in walking distant.
location,close enough to old town to walk to it.
room,room was nice.
service,food was good.
service,what a neat and convenient service.
location,great for pre- or post-cruise stays.
location,this is a nice hotel with the charm of old town san diego.
checkin,"the staff is very friendly and very helpful, especially when suggesting destinations."
"cleanliness, checkin",i don't think you could go wrong following staff recommendations.
location,"if anything, they should go in the opposite direction and bring in more furniture and decor from old mexico."
cleanliness,corporate marriott seems to be trying to destroy the comfortable home away from home that was courtyard.
"cleanliness, location","the rooms and surrounding areas were clean, the pool was nice, and the location is great."
service,"the evening social hours (wine and cheese or ice cream) are well thought out, with a good variety of cheeses, crackers and wine."
checkin,the help are attentive and polite.
"room, cleanliness","the only negative is that i had to keep getting my electronic room key replaced, which doesn't happen nearly this often at other hotels."
location,the hotel is pretty dated and even smells old.
location,"we loved the location, though--walking distance to old town which was fabulous!"
service,"my kids had fun in the hotel's pool (it's small, but kids don't care) and the breakfast buffet was pretty good."
cleanliness,we really like to stay in courtyard marriotts and this one didn't measure up well to the brand.
location,my husband and i stayed here with our 5 year old for one night while touring old town.
location,great location.
location,the hotel itself is old but very nice.
cleanliness,"the rooms are a bit dingy, but the beds were very comfortable."
cleanliness,we didn't hear any noise from the freeway.
service,the customer service was awesome!
checkin,we got in around 1030am and they were able to check us in right away.
checkin,very nice staff here.
checkin,"the airport shuttle had to be called, but they showed up within 20mins and were very helpful."
cleanliness,it was a little dirty and had some bird feathers.
location,other than that our stay was great!
location,i would stay here again if visiting old town.
location,old town is only a couple of blocks away and the san diego trolley station is nearby too.
"room, cleanliness, checkin, location","very convenient location, family friendly and clean."
"room, cleanliness",we had a room with two comfortable double beds and minifridge.
checkin,"front desk staff very friendly and helpful, they matched a lower rate that had been given to the family we were traveling with."
"room, checkin",they had only one room reservation.
room,they then said they were sold out but couldn't refund the one room then magically found a room way down the hall it was a handicap room so we had only a shower.
cleanliness,the rooms small as a closet.
cleanliness,they brought up a roll away and i had to send it back because it couldn't fit.
location,the location not so great.
"service, cleanliness",the hotel is a little dated and lighting in the halls are dim; but otherwise the rooms are good.
"room, cleanliness",i found the linens clean but worn.
business service,they have a nice lobby with free coffee and 3 computers for you to use.
"room, cleanliness","clean, convenient, very nice people."
location,walking distance to all of the old town shops & restaurants.
location,"location: this hotel is located two blocks away from old town san diego, which is full of small shops, great restaurant (most are mexican) and not that far from downtown san diego."
location,"my wife and i walked to old town to have dinner and walk around the streets, which was very plesent."
cleanliness,"i did not notice it, aside from the popcorn cealing in the rooms."
cleanliness,"big nice rooms, included a flat pannel tv and a small fridge."
location,"the sink is outside of the bathroom, which i though was great."
"room, cleanliness",showers are clean with adjustable shower heads.
checkin,staff was very professional and accomodating.
checkin,we arived three hours before check in.
room,"when we called ahead, and when we got in michael and lee got a clean room with no extra charge."
business service,"free wine and cheese in the afternoon (between 4:00 and 6:00) was a nice touch, and free ice cream on friday was nice too."
room,"the bad: the hotel is located near the freeway, and if you are light sleeper ask for a room not facing the freeway."
checkin,"the highlight of the hotel, is definetly the staff."
"checkin, location","we stayed here on a short family break, and although the hotel is aging a little, overall it was in a great location, with good facilities and very helpful staff."
"business service, location",free ice cream on check-in will always be a winner with a 2 year old (and his dad) - a very nice touch.
cleanliness,elevators serve underground parking from lobby and rooms so is very convenient.
location,easily a 5-10 minute walk to everything in old town.
"service, value",the cookies at checkin were super good our first night but could not find any our other nights.
"room, cleanliness","listen to the other reviewers, if you can't handle noise ask for a room in the front of the hotel."
"room, cleanliness","""courtyard by marriott"" immediately conjures up an image of clean, consistent, and efficient lodging."
"room, cleanliness",so when i checked into this courtyard only to find out that my room wasn't ready at 10 pm.
room,i was then offered another room.
cleanliness,after my hike there it hadn't been fully cleaned.
room,i went back to the front counter and was told all we have is the handicapped room that is really noisy next to the freeway.
"room, cleanliness",it was also only marginally clean.
cleanliness,and in the morning when showering the shower drain didn't even remotely drain.
room,since it was the ada room that means the whole toilet room was flooded.
value,all this for $200 a night!
business service,"free internet in the lobby and quiet considering its size and position near the highway on one side, but in a perfect position to go to the old town, what a wonderful place."
"service, business service","they also offer a free shuttle to the zoo and seaworld with discounted tickets, any discount is good in my book."
business service,i had a business trip combined with a family vacation and we stayed here for 3 nights.
service,"wonderful mexican food, shopping, and of course the perfect weather."
room,the maid who did our room would fold my wife's grand kid's blankets (their personal blankets) each day.
"checkin, location",most of the front desk staff were great except for one guy that seemed to have a lazy streak in him a mile wide.
cleanliness,"when i called back, he said it was over a week and he couldn't."
"cleanliness, checkin",he found a way to say no.....and wouldn't lift his finger to help.
location,"this hotel, located just steps from old town, is showing its age."
cleanliness,"the rooms are standard old-school courtyard, but ours had an lcd and a nice, comfortable bed."
business service,"the free wine and cheese reception was fantastic, but good wine free flowing for an hour and the friendly manager coming around to top off everyone's drinks before the hour was up."
location,"despite others' enthusiasm over old town itself, we walked through it in about 20 minutes."
business service,"there are tons of mexican restaurants and stores selling overpriced junk with a southwest motif, but other than a few interesting museums (free) this was just not much of a destination."
service,"however, this hotel does offer rare airport shuttle service, and just four blocks away you can catch the light rail into downtown (we took it to and ate at seaport village), and it's also the starting point for the trolley tours, which go all over sd."
room,"i had called them in the morning to ask them to block a room away from the freeway, after reading other posts about the noise."
location,"certainly, while on the street walking to old town, the freeway noise is pervasive, so i appreciate those who posted that."
checkin,check in was prompt and the staff were helpful and friendly the entire stay.
room,my room was clean and in good order.
room,"the bed had a variety of pillow firmnesses, and was covered in clean sheets with only one of those little footscarfs at the bottom of the bed."
cleanliness,"this is a marriott standard, so don't know where the dirty bedspread comment could have come from."
service,there was a large easy chair and it was in good repair.
room,"there were 3 lamps, enuf to light the room."
service,"there was a pull out work table, lots of countertop in good repair, and an oversized luggage rack."
room,"the room does have the sink outside the bathroom, and this was clean and functional, but to my mind old fashioned, but i know a lot of people prefer that."
"room, cleanliness",the bathroom was clean and large.
service,"good shower head, adjustable."
room,"i did not need to adjust the room temperature, so i did not use the wall unit."
cleanliness,"these are not my favorite, and others had said they weren't fresh."
cleanliness,"as i had forgotten to pack most of my allergy medication, i didn't want to go there."
room,i had no allergy problems in the room.
"room, cleanliness",i do think the hallway and room have that hotel cleaning fluid smell that you find a lot of place.
service,"the wallpaper, paint, furniture finishes etc were in good order except where the metal folding closet doors can gore the back of the bathroom door."
"room, cleanliness","i always consider hotel room rugs to be dirty, and as it so happend, had needed to wash the slipper i take when traveling."
cleanliness,"as their soles did not get black there, i consider this rug to be less dirty than most."
"room, cleanliness","staying only 1 night, with plenty of everything, i didn't have the maid come in at all, but as my room was clean, i suspect it's good."
service,"the breakfast was not overly pricey for a hotel breakfast, and as i was here on business, i didn't have time to hunt around for an alternative."
service,"buffet selection was large: eggs, potatoes, bacon, sausage, biscuits and gravy, oatmeal, all the standard breads, yoghurts, fruits, juices."
"service, location","the restaurant is dark and not attractively decorated but it was not the end of the world, especially for a quick breakfast."
"service, location",the location was good.
location,"it was literally a 2 block walk to the night life, dozens of restaurants and shops of old town, plus historic sights."
value,"(they nornally shuttle to the airport and train station every hour on the hour) a friend came back with me for a drink one night, and we sat by the fireplace and chatted til she had to leave for dinner with her family."
cleanliness,i was comfortable.
location,stayed here with a cousin who was visiting from out of town and wanted to spend a couple of days in sd.
"room, cleanliness",room was small and tv wasn't easy to operate.
location,was walking distance to old town which was good.
cleanliness,"the carpet in the room was stained and dirty so that was gross and i feel if a marriott property can't even clean a dirty carpet they should get a poor rating, so that is why i rated it as poor."
cleanliness,paying only $110 a night still doesn't excuse a hotel from being dirty.
"service, cleanliness, location",parking lot next to property was good too since parking isn't so great!
cleanliness,"can't comment on the breakfast, didn't try it."
location,"i stayed here for three nights, and although the location is within walking distant of old town and some great mexican restaurants, until it is updated i would not choose to stay here again."
cleanliness,the rooms have a mildew smell and the hallway carpeting had two big stains on the floor that we were on.
cleanliness,it just wasn't up to courtyard standards.
checkin,"the people at the front desk and the housekeeping staff could not have been friendlier, they were exceptional."
location,"we loved the courtyard by marriott san diego airport/liberty station, new, clean and updated, and i would recommend that one or i would stay at the best western in old town."
location,old town historical disctrict is only a short walk away.
checkin,"the staff - specifically bailee, made our stay effortless."
service,the good : -close to san diego airport.
business service,"-easy to find the bad: -parking is tight, and there's a charge, although free parking is available on the street."
cleanliness,(i was not comfortable leaving my car on the street.)
cleanliness,#NAME?
room,i was given a room on the freeway - which i asked to change.
cleanliness,there were other rooms available when i checked in.
"cleanliness, checkin, location",i'm actually surprised that the check in person didn't think that perhaps a gold member should get a better location.
"room, cleanliness","-the hotel smells - the hallways, and the room i'm in, but i'm not changing rooms again."
location,the location is outstanding.
"cleanliness, location",the lobby and restaurant have been re-done and the rooms are due.
room,"since we had multiple appointments and mixed in sightseeing, i knew we would not be in the room all day."
location,the location is nice but this hotel really needs a makeover.
"room, location",i turned on the ac in the room and it smelled like mildew......bedding and carpet are old.
room,i got a room facing the freeway and it sounded like semis were driving thru!
room,"overall, we were very happy with our room."
cleanliness,it was very quiet and comfortable.
room,"we stayed in room 440 (top floor, end of hall)."
service,"we booked a package through marriott that was to include breakfast, movie tickets, and courtyard bucks."
service,when we checked out they realized we were never given our breakfast vouchers.
checkin,we arrived in san diego on friday 1/21 and the hotel shuttle picked us up at the airport and let me check in at 9-am which was nice.
checkin,i had called in advance and asked if they would accommodate the early check in and they said yes no problem.
checkin,we arrived to find the outside of the hotel presentable and the front desk staff was very kind and helpful.
"room, location",however the room is old and the bedding is not what a courtyard by marriot should be.
"cleanliness, location",the air conditioner is the old fashioned model in the wall and didn't work very well.
location,the location is nice because you can walk to several restaurants within minutes.
service,we decided to eat their breakfast buffet which was pretty good for the money but the coffee was luke warm.
cleanliness,"marriot if your reading this review ""please do your selves a favor and remodel your hotel rooms""."
"service, business service, location",the location of this property is pretty good if you are on business or pleasure.
location,nice little restaurant and the area (old town) around the hotel has a lot to offer for dining.
"service, checkin, location",pros: location staff friendliness good beds cons: small bathroom vanities (a non-stater if my spouse had been with me..see attached picture) mold in bathroom (see attached picture) this is a marriott.
cleanliness,"for pete's sake, there shouldn't be mold!"
checkin,"the front desk, the general manager, and the housekeeping staff treated us like family for the week we were there."
room,we asked for a larger room so both of us could do some work and were accomodated without hesitation.
checkin,the housekeeping staff found an extra table.
location,it is two blocks to central old town.
"business service, location",the restaurant and bar with the free evening happy hour was excellent.
checkin,the staff are very accomodating about requesting a room away from the traffic when you make your reservation.
service,i stayed here for a weekend with my husband and was impressed with the level of service at this courtyard.
checkin,every staff member i encountered during my stay acknowledged me with a smile and a greeting.
cleanliness,rooms were extremely clean and spotless.
location,"a welcome gift from the hotel (i'm a marriott platinum), walking maps of old town, printed directions to san diego attractions, and a welcome note from the hotel's general manager."
service,this courtyard understands customer service and has obviously worked to make it a priority.
cleanliness,we knew marriott will be a dependable place and turned out to be very comfortable.
checkin,our house keeper was exceptionally helpful eachday to provide us with her extra care and service with a very friendly smile and nice gesture.
room,"i enjoyed the fitness room, swimming pool and palati class."
"service, location",food in the hotel was great.
checkin,the staff was very nice and it was close to downtown san diego and sea world.
room,i did ask for a quiet room and the room was quiet in regards to the other hotel guests.
service,but you will not get a good nights sleep without ear plugs.
location,"not great, but from what i could see, if you park on the street, you are walking several blocks."
value,stayed here for one night only thankfully.
location,"it ha to be said it is in a great location, in walking distance from old town and a short drive to seaworld."
cleanliness,but this doesn't give marriott a licence to leave this hotel in such a state.
"business service, location","firstly the entrance and lobby are nice, with complimentary internet for guests which is great."
room,"we then walked through the aged shabby corridor to our unbelievably low ceilinged room (i am 5""6 and could touch the ceiling with my arm outstretched)."
room,then we spotted the earplugs (one set in a twin room - can anybody say stupid?)
room,"if you do stay here make sure to request a room that does not overlook this road, as it seems they will splash out on lcd tv's but not on soundproof glass."
"room, cleanliness","an effort has been made to modernise the rooms with the flashy tvs etc, but it is not enough, our room could have done with a complete overhaul rather than a tv."
"room, cleanliness","the hotel is very clean, just dated."
value,due to lack of sleep i would have gone crazy if the stay was longer than one night.
room,plus the fact they could not offer us a smoking room or a change in room.
"cleanliness, location","as other reviewers have said, the property isn't great."
"cleanliness, location","the building seems a little old and tired, and didn't seem the cleanest."
value,"however, for the price, the place met my expectations."
location,it is a great location with easy highway access and walkable to old town.
checkin,the staff was excellent.
business service,there was a free wine and cheese reception when we arrived.
checkin,there is an efficient courtesy shuttle system with friendly and prompt drivers.
service,breakfast was pretty good.
room,it was difficult to regulate the temperature in the room.
room,we did not face the freeway and had a quiet and pleasant room.
cleanliness,"generally they are newer, modern, clean and comfortable with large rooms."
room,"this hotel was clearly not purpose-built as a courtyard, and has only received some of the typical courtyard updates (bedding, furniture, room carpet - yes)."
cleanliness,the corridors of the hotel smell and look dated.
cleanliness,the rooms are quite small.
"cleanliness, location",the windows are old and don't block out the loud street noise from the freeway.
"service, value",not a good night's sleep.
service,breakfast buffet (not included) was very good quality with a courteous staff.
location,the location is good for visiting old town - walkable.
"room, cleanliness","1) the place is old inside, 2) the room smells, 3) the room i got is face the high way, 4) the worst part is that window doesn't block any sound, so i couldn't get a good sleep because of hearing the noise from highway all night long."
"business service, value","this place is worst than quality inn or similar places, more like a motel 6. i am not an usual complainer, and my trip is for business, not vacation (thanks god!"
"room, business service, cleanliness","whether you are on business or leisure, stay somewhere else unless you can sleep in the smell and noise room."
"room, cleanliness, location","there was a disgusting smell wafting into the room from the bathroom, most probably from old & leaking plumbing."
value,"third: for the price of this hotel, why have to put up with such flimsy windows?"
room,"on the fourth (top) floor, my room has skylights and an enclosed lanai."
location,it's courtyard excellence with that old spanish era flavor.
checkin,"front desk staff are cheerful, helpful and respectful."
location,"there's an onsite restaurant that serves breakfast and dinner, but you can also walk to old town for dining."
checkin,i would stay here again because the staff is superb!
location,location is its main advantage.
location,old town restaurants and shops are a two minute walk away.
"service, value","located right off freeway, so if you are driving it is good for that, easy to find and offers safe parking for $12 per night."
cleanliness,"i have stayed here 3 times now, for pure convenience but not for more than that -- used my husband's and my marriott points so maybe that's why we got rooms near the freeway (loud!)."
business service,"free internet access and coffeemaker in room, 1.50 for water bottles, small pool in shady section on entrance parking lot, strange small dimly lit bathroom, maybe some brighter colors and a renovation would make the hotel a bit more inviting."
location,"quite decent hotel very convenient for the old town which should not be missed, especially at night."
room,room was fine apart from not having a safe which would have saved us having to cart passports etc.
service,good breakfast.
checkin,made reservation for 3 nights.
location,hotel was really great.
room,requested room away from freeway so my room was very quiet.
cleanliness,looks like rooms and hotel recently renovated.
room,"furniture in room was new and the carpet, wallpaper, and bathroom looked brand new also."
business service,"room had large flat screen tv, minifridge, and free internet."
"business service, cleanliness","if you didn't bring your computer, there are 3 nice computers in lobby that you can use."
room,room was super clean.
service,hotel charges for parking but i received a special rate that included parking and breakfast (pays to be a mariott rewards member).
service,breakfast was ok. there is a buffet and your eggs and waffles are made to order.
"business service, cleanliness","if i didn't have free coupon, would probably have eaten elsewhere."
service,"in the evenings, there is a bar onsite so you can order drinks and food."
location,hotel is located 2 blocks from the outer edges of old town(near the whaley house).
location,definately a great place.
service,they do provide ear plugs - never a good sign.
cleanliness,our rooms were not too bad - on the side of the hotel towards the back the back.
cleanliness,there was audible background freeway noise when i didn't have the aircon fan on.
cleanliness,i didn't have a problem with it and have stayed in a lot nosier hotels.
"room, cleanliness",those with rooms overlooking the freeway may well have caused for complaint - watch your room selection.
location,the location is excellent a couple of blocks from old town and 5 mins walk from the trolley which takes you downtown.
location,with downtown hotels costing about double i'd recommend old town as a location to stay.
value,even the cab fare back late at night was only $16.
location,"old town itself is a pleasant location with plenty of bars, restaurants, etc."
cleanliness,"i didn't and the result was a $47 parking violation which, more or less, negated the street parking saving."
business service,"room was fine (standard courtyard), free internet worked and they had a couple of internet connected pcs in the lobby which took usb keys with printers attached."
"room, service, business service","the exercise room had two joggers, two bikes and a x-trainer and free weights all in good working order."
business service,a nice touch is the free wine and cheese most evenings around 5:00pm in the lobby.
location,didn't eat in the hotel as old town is just up the road and has great choices for both breakfast and evening meals.
location,its a better choice than the mission valley hotels due to the proximity of old town and the trolley.
room,"so, in summary, i'd stay there again but be sure to arrange a room away from the freeway."
cleanliness,i led a group and stayed here may 21-23 (six rooms.)
checkin,we felt very welcome and all were surprised at the friendliness of the staff.
"cleanliness, location","lobby is a little cramped, but sitting area is very nice, and rooms were great."
cleanliness,"halls, rooms, and bathrooms were clean, all well-kept."
service,"breakfast was good with cooked to order eggs, along with bacon, fruit, cereal, oatmeal, toast, bagels, biscuits and gravy, etc."
checkin,"desk staff continually helped answer questions every time, shuttle came to sante fe depot to pick us up five minutes after we called for advice on how to get there, and contrary to other reviews room/highway noise did not seem to be an issue."
value,i heard a train one time early in the night and if i listened i could hear a car on i-5.
cleanliness,didn't bother our sleep at all.
location,two blocks from old town and all the restaurants and shops there.
location,we recommend the old town mexican cafe - there was a huge crowd waiting at the crazy coyote (which i guess means they are good too) and we could not get in.
location,we were withing walking distance to the historic old town neighborhood.
checkin,"this hotel was very clean, and the staff was very friendly!"
location,the prime location directly next to hwy 5 meant it felt like you were sleeping on the hwy.
cleanliness,the rooms were no more impressive than a motel 6. i can't understand why you would stay here with so many other choices in the area.
location,the hotel is a two block stroll from old town for meals and touristy things.
cleanliness,nightime seemed sketchy (wouldn't walk alone) but we had no problems.
checkin,the staff was vey friendly and helpful.
room,very clean main room and bathroom too.
"room, cleanliness, location",pool was nice and hot tub was great (didn't know conference room overlooked pool area-hope there were no saturday meetings!)
location,great value and location.
location,"we (my wife, 1 yr old son, and i) stayed here over valentine's weekend."
location,the hotel is about 3 blocks away from old town.
location,"so, if that's the part of san diego that you'll be spending most of your time it's a fabulous location."
location,"however, you can take the trolley tour from old town and see many of the other popular tourist sites (which we did and we would recommend it for anyone looking for a quick overview of the city)."
"value, location","it's a 3-star hotel at best, but it's still a great place to stay for the value."
checkin,the employees were all very friendly and accommodating.
cleanliness,"even though the lobby was busy with people checking in, they were happy to answer my questions about the area and didn't rush me off."
cleanliness,the rooms are standard and unspectacular.
"room, cleanliness","but, it was clean."
cleanliness,"but, the noise didn't affect us at all."
cleanliness,we parked in the garage for our stay and from what we observed there weren't a lot of open spots on the street.
business service,the rooms have free wifi.
"service, location",they do have restaurant but we didn't try it (harney sushi down the street was great; cafe coyote had mediocre mexican food and poor service).
"service, cleanliness","the standard going rate for their rooms is a little high, but luckily we got a good deal for much less."
location,i just returned from a 3 day conference at the old town mariott courtyard.
room,i had a conference rate of $159 per night for a king room.
room,"the hotel is older so there is some room noise - i could hear the guy in the room next to me coughing, and doors slamming in the hallway, but the rooms have been updated and are very nice except for the trim around doors and floor."
"room, cleanliness","the bed was supremely comfortable: it had a clean duvet instead of the usually icky bedspread and tons of pillows, both down and foam."
"business service, location","there is a very nice desk area with a great workspace, desk lamp, outlets for computer and cell phone right on the desk."
checkin,this hotel had among the friendliest and most accomodating staff i have ever encountered!
business service,there was a free shuttle from the airport and a very courteous driver.
checkin,the front desk staff were very friendly and helpful.
value,"tuesday night there is a host by the fireplace off the lobby serving complimentary wine, and there was a nice spead of cheese and crackers."
value,wednesday night the hostess served cookies and hot cider.
location,i ate the in the hotel restaurant and our conference meals were catered by the hotel as well.
"room, service, checkin",room service was fast and again the server was very polite and friendly.
location,"the food was fine, but if i hadn't been alone i would have walked to old town for dinner instead."
location,"the hotel is a block away from old town, so if that is your destination in san diego, you can't beat this hotel."
location,it is easily the nicest hotel near old town.
"room, cleanliness, location","the pool area was very small and right in clear view of the conference rooms, lobby, hotel restaurant and parking lot."
"room, business service, cleanliness",i didn't use the pool because i would have had to swim in clear view of people sitting on the patio having business meetings and/or working on their laptops.
business service,i only saw one family while i was here - it was all business people so i probably wouldn't stay here during the week unless i was on business.
location,"spent seven great days in the courtyard old town san diego, from christmas day to new year's day and had a fabulous stay."
location,"the hotel is very centrally located to all that is san diego -- beaches, sea world, coronado, and, of course, old town, just to name a few areas!"
location,"in fact, it is within walking distance of all old town attractions, as well as the trolley that runs throughout san diego proper."
"service, cleanliness",the rooms are typical courtyard and predictable (which i consider a good thing).
service,"either way, these are not really good options to getting to the pool/hot tub area."
value,"as other reviewers have mentioned, the parking is $12 per night if you choose to park with the hotel."
value,"however, street parking is typically not an issue, so i opted to park on the street and never failed to find a spot, regardless of the time of day or night."
location,"this property obviously did begin as a courtyard, as is readily apparent upon arrival, but it does fit the old town look and feel."
value,"this particular neighborhood does seem a bit questionable at night, but i never encountered any problems, but on a few occasions there were older men just roaming around on the streets surrounding the property."
room,"security does seem adequate at the hotel, as there was always a night guard on duty and the doors only accessible with a room key after 10 p.m. bottom line...i would not hesitate to stay at this property again, but as many others have stressed, please request a room facing away from interstate 5 -- quite busy and noisy if you are placed in one of those rooms."
location,location was great.
location,"we spent the day walking around balboa, then took a short drive to our hotel and walked around old town san diego, and crawled back to the room after a few bar visits."
location,"old town is two blocks away, easy to walk back and forth."
"value, location",at night we took a taxi to canes restaurant which is in mission beach.
cleanliness,"we had a car, but we were drinking and didn't want to worry about driving."
"room, cleanliness","rooms were clean and comfy, nice big tv, comfy bed."
room,"not much luxury, just a basic room, but very clean and delightful."
location,qualcom stadium was a short 10 minute drive from here.
value,"not too sure how much she paid for it, but i do know she booked it using hotwire (i tought her well)."
location,it's pretty much a standard marriot courtyard located in old town.
location,"if you enjoy the courtyard, this is pretty much like most.. not a great bargain, but not bad either."
cleanliness,the beds are very comfortable!
room,"we had a room facing the town side, so i can't comment on any noise from the i-5."
checkin,staff was uniformly helpful.
cleanliness,this hotel was comfortable and clean.
"room, cleanliness",the only problem was that they didn't clean the room when we went out.
location,after i read the reviews this place sounded great.
location,it is with in 2 blocks of old town and shopping.
service,"i ate in the hotel restrant once for breakfast and it was not very good, i waited 30 min for french toast, i would not eat there again, the beds were very comfortable nice to sleep in."
"room, value",yes we also had a freeway view we just keep the vent on all night and we did not hear the freeway at all.
room,"when my husband booked our room a month in advance, he asked that we be placed in a room that was not on the freeway side."
room,so what room did they give us?
